,date,username,tweet,nlikes
0,2022-04-30 06:51:08,Arief_2792,"@henrysubiakto Agama aja sering mereka gunakan untuk menggagalkan peraturan2 yg progresif, sprt Permendikbud penghapusan kekerasan seksual",1
1,2022-04-30 06:48:37,hanifandiskyad1,"@shabrinaf_ Bukan karena saya membela feminisme, melainkan ada beberapa hal. Banyak netizen yg masih memahami feminisme sebatas pada kesetaraan gender dan perlawanan pada kekerasan seksual, bukan pembelaan pada L***",0
2,2022-04-30 06:20:16,Arief_2792,@pengarang_sajak Bebas kekerasan seksual juga serta sex education nya bagus,1
3,2022-04-30 06:11:38,Arief_2792,"@henrysubiakto @aniesbaswedan itu pdhl moderat ke liberal, buktinya aja dia bikin aturan anti kekerasan seksual di lingkungan @DKIJakarta. Kalo beliau kanan mentok konservatif kek @PKSejahtera, mana mungkin bikin gituan, kan katanya ""mElEgAlKaN zInA &amp; sEkS bEbAs""",0
4,2022-04-30 06:10:58,Arief_2792,"@HukumDan @aniesbaswedan itu pdhl moderat ke liberal, buktinya aja dia bikin aturan anti kekerasan seksual di lingkungan @DKIJakarta. Kalo beliau kanan mentok konservatif kek @PKSejahtera, mana mungkin bikin gituan, kan katanya ""mElEgAlKaN zInA &amp; sEkS bEbAs""",0
5,2022-04-30 05:22:38,airisk_,@tvindonesiawkwk Kalo cewe jual video syur cepet banget nangkepnya tapi kalo cowo pelaku kekerasan seksual dan para koruptor kok lama banget ya prosesnya🧐😞,10
6,2022-04-30 04:20:51,generasi1998,"Kadang sedih bgt, masih banyak perempuan yang masih buat konten tiktok ga jelas dgn tema ‘melecehkan dirinya sendiri’.  Sungguh ironi mengingat gimana perjuangan susahnya RUU TPKS (rancangan undang-undang tindak pidana kekerasan seksual) untuk di’sah’kan :”(  Kenapa sih :(",0
7,2022-04-30 04:15:00,idntimes,"A (23) adalah penyintas korban percobaan kekerasan seksual di Surabaya yang berhasil melarikan diri dari aksi bejat pelaku, yang merupakan temannya sendiri. Kejadian melarikan diri dari pelaku ini, terjadi pada 10 April 2022 lalu. Berikut ceritanya.   https://t.co/Wxc22rnSWt",0
8,2022-04-30 04:10:30,tudungsaaji,"@scrxnb UU TPKS udah bisa digunakan buat menjerat pelaku kekerasan seksual gasi guys? soalnya pernah baca seingetku kalo kejadiannya cuma ada pelaku dan korban itu juga di atur di UU itu, seenggaknya mungkin kakaknya sender dapat layanan pemulihan. miris bgt kalo kaya gini ga ditindak.",0
9,2022-04-30 04:07:11,tudungsaaji,"Di UU TPKS seingetku ada di atur jenis kekerasan seksual kaya gini deh, yg mana kejadiannya cuma ada pelaku dan juga korban. semoga mendapatkan keadilan buat kakaknya sender",0
10,2022-04-30 01:03:06,eLAmaravati,"Gak heran banyak anak yang diam ketika mengalami kekerasan/kekerasan seksual dari orang tuanya. Gue baru bilang gak harmonis ama ibu aja banyak yang salty. Kalian tinggal di dunia bagian mana, sih, sampai menganggap bahwa orang tua adalah berhala yang harus dipuja-puja?",18
11,2022-04-30 00:56:07,Jonibn11,"Puan menegaskan, implementasi UU TPKS nantinya akan dapat menghadapi dan menyelesaikan kasus-kasus kekerasan seksual",0
12,2022-04-30 00:55:54,Jonibn11,"“UU TPKS adalah hasil kerja bersama sekaligus komitmen bersama kita, untuk menegaskan bahwa di Indonesia tidak ada tempat bagi kekerasan seksual,”  --Puan Maharani",0
13,2022-04-30 06:55:55,jawuwawy,"@andreasharsono Sama kaya di kampus saya, korban pelecehan seksual justru dapat sanksi tidak dapat pelayanan akademik selama 2 semester, alasannya karena dia dianggap bersalah mau diajak bertemu laki-laki di malam hari. Sangat lucu ketika korbannya justru ikut dapat sanksi",2
