,tweet,label,tweet_tokens_result,tweet_tokens_clean,tweet_tokens_clean2,string_clean
0,@tvindonesiawkwk kalo cewe jual video syur cepet banget nangkepnya tapi kalo cowo pelaku kekerasan seksual dan para koruptor kok lama banget ya prosesnyaðÿ§ðÿ˜ž,not urgent,"['kalo', 'cewe', 'jual', 'video', 'syur', 'cepet', 'banget', 'nangkepnya', 'tapi', 'kalo', 'cowo', 'pelaku', 'kekerasan', 'seksual', 'dan', 'para', 'koruptor', 'kok', 'lama', 'banget', 'ya', 'prosesnya']","['cewe', 'jual', 'video', 'syur', 'nangkepnya', 'cowo', 'pelaku', 'kekerasan', 'seksual', 'koruptor', 'prosesnya']","['cewe', 'jual', 'video', 'syur', 'nangkepnya', 'cowo', 'laku', 'keras', 'seksual', 'koruptor', 'proses']",cewe jual video syur nangkepnya cowo laku keras seksual koruptor proses
1,"a (23) adalah penyintas korban percobaan kekerasan seksual di surabaya yang berhasil melarikan diri dari aksi bejat pelaku, yang merupakan temannya sendiri. kejadian melarikan diri dari pelaku ini, terjadi pada 10 april 2022 lalu. berikut ceritanya.   https://t.co/wxc22rnswt",urgent,"['adalah', 'penyintas', 'korban', 'percobaan', 'kekerasan', 'seksual', 'di', 'surabaya', 'yang', 'berhasil', 'melarikan', 'diri', 'dari', 'aksi', 'bejat', 'pelaku', 'yang', 'merupakan', 'temannya', 'sendiri', 'kejadian', 'melarikan', 'diri', 'dari', 'pelaku', 'ini', 'terjadi', 'pada', 'april', 'lalu', 'berikut', 'ceritanya']","['penyintas', 'korban', 'percobaan', 'kekerasan', 'seksual', 'surabaya', 'berhasil', 'melarikan', 'aksi', 'bejat', 'pelaku', 'temannya', 'kejadian', 'melarikan', 'pelaku', 'ceritanya']","['sintas', 'korban', 'coba', 'keras', 'seksual', 'surabaya', 'hasil', 'lari', 'aksi', 'bejat', 'laku', 'teman', 'jadi', 'lari', 'laku', 'cerita']",sintas korban coba keras seksual surabaya hasil lari aksi bejat laku teman jadi lari laku cerita
2,"@scrxnb uu tpks udah bisa digunakan buat menjerat pelaku kekerasan seksual gasi guys? soalnya pernah baca seingetku kalo kejadiannya cuma ada pelaku dan korban itu juga di atur di uu itu, seenggaknya mungkin kakaknya sender dapat layanan pemulihan. miris ",not urgent,"['uu', 'tpks', 'udah', 'bisa', 'digunakan', 'buat', 'menjerat', 'pelaku', 'kekerasan', 'seksual', 'gasi', 'guys', 'soalnya', 'pernah', 'baca', 'seingetku', 'kalo', 'kejadiannya', 'cuma', 'ada', 'pelaku', 'dan', 'korban', 'itu', 'juga', 'di', 'atur', 'di', 'uu', 'itu', 'seenggaknya', 'mungkin', 'kakaknya', 'sender', 'dapat', 'layanan', 'pemulihan', 'miris']","['menjerat', 'pelaku', 'kekerasan', 'seksual', 'baca', 'seingetku', 'kejadiannya', 'pelaku', 'korban', 'atur', 'seenggaknya', 'kakaknya', 'layanan', 'pemulihan', 'miris']","['jerat', 'laku', 'keras', 'seksual', 'baca', 'seingetku', 'jadi', 'laku', 'korban', 'atur', 'enggak', 'kakak', 'layan', 'pulih', 'miris']",jerat laku keras seksual baca seingetku jadi laku korban atur enggak kakak layan pulih miris
3,"gak heran banyak anak yang diam ketika mengalami kekerasan/kekerasan seksual dari orang tuanya. gue baru bilang gak harmonis ama ibu aja banyak yang salty. kalian tinggal di dunia bagian mana, sih, sampai menganggap bahwa orang tua adalah berhala yang harus dipuja-puja?",not urgent,"['gak', 'heran', 'banyak', 'anak', 'yang', 'diam', 'ketika', 'mengalami', 'kekerasankekerasan', 'seksual', 'dari', 'orang', 'tuanya', 'gue', 'baru', 'bilang', 'gak', 'harmonis', 'ama', 'ibu', 'aja', 'banyak', 'yang', 'salty', 'kalian', 'tinggal', 'di', 'dunia', 'bagian', 'mana', 'sih', 'sampai', 'menganggap', 'bahwa', 'orang', 'tua', 'adalah', 'berhala', 'yang', 'harus', 'dipujapuja']","['heran', 'anak', 'diam', 'mengalami', 'seksual', 'orang', 'tuanya', 'bilang', 'harmonis', 'tinggal', 'dunia', 'menganggap', 'orang', 'tua', 'berhala']","['heran', 'anak', 'diam', 'alami', 'seksual', 'orang', 'tua', 'bilang', 'harmonis', 'tinggal', 'dunia', 'anggap', 'orang', 'tua', 'berhala']",heran anak diam alami seksual orang tua bilang harmonis tinggal dunia anggap orang tua berhala
4,"@andreasharsono sama kaya di kampus saya, korban pelecehan seksual justru dapat sanksi tidak dapat pelayanan akademik selama 2 semester, alasannya karena dia dianggap bersalah mau diajak bertemu laki-laki di malam hari. sangat lucu ketika korbannya justru",not urgent,"['sama', 'kaya', 'di', 'kampus', 'saya', 'korban', 'pelecehan', 'seksual', 'justru', 'dapat', 'sanksi', 'tidak', 'dapat', 'pelayanan', 'akademik', 'selama', 'semester', 'alasannya', 'karena', 'dia', 'dianggap', 'bersalah', 'mau', 'diajak', 'bertemu', 'lakilaki', 'di', 'malam', 'hari', 'sangat', 'lucu', 'ketika', 'korbannya', 'justru']","['kampus', 'korban', 'pelecehan', 'seksual', 'sanksi', 'pelayanan', 'akademik', 'alasannya', 'dianggap', 'bersalah', 'diajak', 'bertemu', 'malam', 'lucu', 'korbannya']","['kampus', 'korban', 'leceh', 'seksual', 'sanksi', 'layan', 'akademik', 'alas', 'anggap', 'salah', 'ajak', 'temu', 'malam', 'lucu', 'korban']",kampus korban leceh seksual sanksi layan akademik alas anggap salah ajak temu malam lucu korban
5,reply nya byk juga yg udh jadi korban pelecehan seksual beginiâ€¦ takut,not urgent,"['reply', 'nya', 'byk', 'juga', 'yg', 'udh', 'jadi', 'korban', 'pelecehan', 'seksual', 'begini', 'takut']","['korban', 'pelecehan', 'seksual', 'takut']","['korban', 'leceh', 'seksual', 'takut']",korban leceh seksual takut
6,"ini temanku mengalami pelecehan seksual, dan yang laki - laki sudah tua tapi gak merasa tua. lah korbannya gak berani lapor ke keluarganya terus laki - lakinya juga pernah menggoda adikku. setelah aku olok - olok, aku kira gak bakal sebrutal itu ternyata lebih dari brutal anjing..",urgent,"['ini', 'temanku', 'mengalami', 'pelecehan', 'seksual', 'dan', 'yang', 'laki', 'laki', 'sudah', 'tua', 'tapi', 'gak', 'merasa', 'tua', 'lah', 'korbannya', 'gak', 'berani', 'lapor', 'ke', 'keluarganya', 'terus', 'laki', 'lakinya', 'juga', 'pernah', 'menggoda', 'adikku', 'setelah', 'aku', 'olok', 'olok', 'aku', 'kira', 'gak', 'bakal', 'sebrutal', 'itu', 'ternyata', 'lebih', 'dari', 'brutal', 'anjing']","['temanku', 'mengalami', 'pelecehan', 'seksual', 'laki', 'laki', 'tua', 'tua', 'korbannya', 'berani', 'lapor', 'keluarganya', 'laki', 'lakinya', 'menggoda', 'adikku', 'olok', 'olok', 'sebrutal', 'brutal', 'anjing']","['teman', 'alami', 'leceh', 'seksual', 'laki', 'laki', 'tua', 'tua', 'korban', 'berani', 'lapor', 'keluarga', 'laki', 'laki', 'goda', 'adik', 'olok', 'olok', 'brutal', 'brutal', 'anjing']",teman alami leceh seksual laki laki tua tua korban berani lapor keluarga laki laki goda adik olok olok brutal brutal anjing
7,kenali juga bentuk-bentuk pelecehan seksual agar kita tidak menjadi korbannya dan tahu ketika ada rekan commuters yang sedang mengalaminya. segera laporkan kepada petugas di stasiun maupun kereta apabila melihat tindakan-tindakan yang mencurigakan. |2  https://t.co/eiq93xyo4r,not urgent,"['kenali', 'juga', 'bentukbentuk', 'pelecehan', 'seksual', 'agar', 'kita', 'tidak', 'menjadi', 'korbannya', 'dan', 'tahu', 'ketika', 'ada', 'rekan', 'commuters', 'yang', 'sedang', 'mengalaminya', 'segera', 'laporkan', 'kepada', 'petugas', 'di', 'stasiun', 'maupun', 'kereta', 'apabila', 'melihat', 'tindakantindakan', 'yang', 'mencurigakan']","['kenali', 'pelecehan', 'seksual', 'korbannya', 'mengalaminya', 'laporkan', 'stasiun', 'kereta', 'tindakantindakan', 'mencurigakan']","['kenal', 'leceh', 'seksual', 'korban', 'alam', 'lapor', 'stasiun', 'kereta', 'tindakantindakan', 'curiga']",kenal leceh seksual korban alam lapor stasiun kereta tindakantindakan curiga
8," @askrlfess mjb, itu pelaku pelecehan seksual kak  https://t.co/ohg6aoch9z setelah ngomong gitu dia ngunci badan kakakku dengan peluk kakakku dari belakang (btw posisi dia dari awal minta minyak angin udah di belakang kakakku) sambil remes remes payudara kakakku... kakakku panik bangett shock membeku seketika.",urgent,"['mjb', 'itu', 'pelaku', 'pelecehan', 'seksual', 'kak', 'setelah', 'ngomong', 'gitu', 'dia', 'ngunci', 'badan', 'kakakku', 'dengan', 'peluk', 'kakakku', 'dari', 'belakang', 'btw', 'posisi', 'dia', 'dari', 'awal', 'minta', 'minyak', 'angin', 'udah', 'di', 'belakang', 'kakakku', 'sambil', 'remes', 'remes', 'payudara', 'kakakku', 'kakakku', 'panik', 'bangett', 'shock', 'membeku', 'seketika']","['pelaku', 'pelecehan', 'seksual', 'ngomong', 'ngunci', 'badan', 'peluk', 'posisi', 'remes', 'remes', 'payudara', 'panik', 'shock', 'membeku']","['laku', 'leceh', 'seksual', 'ngomong', 'ngunci', 'badan', 'peluk', 'posisi', 'remes', 'remes', 'payudara', 'panik', 'shock', 'beku']",laku leceh seksual ngomong ngunci badan peluk posisi remes remes payudara panik shock beku
9,"demi allah ko banyak bgt pelecehan seksual sih ðÿ¥² apa ya kek orang2 norak bgt dah pikirannya...kayak... apalagi sm yg ""ya lagi bajunya kebuka""... mksdnya kek lu norak banget anjir kek gaperna liat org aja tae",not urgent,"['demi', 'allah', 'ko', 'banyak', 'bgt', 'pelecehan', 'seksual', 'sih', 'apa', 'ya', 'kek', 'orang', 'norak', 'bgt', 'dah', 'pikirannyakayak', 'apalagi', 'sm', 'yg', 'ya', 'lagi', 'bajunya', 'kebuka', 'mksdnya', 'kek', 'lu', 'norak', 'banget', 'anjir', 'kek', 'gaperna', 'liat', 'org', 'aja', 'tae']","['pelecehan', 'seksual', 'orang', 'pikirannyakayak', 'bajunya', 'kebuka', 'liat']","['leceh', 'seksual', 'orang', 'pikirannyakayak', 'baju', 'buka', 'liat']",leceh seksual orang pikirannyakayak baju buka liat
